<<<<<<< Updated upstream
,Provider.Name,Provider.State,Occupied.Beds.Per.100,Resource.Supply,Nursing.Staff,Confirmed.COVID.19.Per.1.000,Complete.Vaccination.Per.100,Health.Inspection.Rating,Staffing.Rating,QM.Rating,Overall.Rating
7978,LOUISBURG HEALTHCARE & REHABILITATION CENTER,NC,0.5706521739130435,2.8333333333333335,0.0,94.689,85.075,3.0,1.0,2.0,2.0
7979,LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,LA,0.005555555555555556,4.0,1.0,0.0,0.0,,,,
7980,LOUISIANA WAR VETERANS HOME,LA,0.7093023255813954,4.0,0.30000000000000004,662.9100000000001,97.2465,5.0,1.0,,4.0
7981,LOUISVILLE CARE CENTER,NE,0.7311475409836066,4.0,1.0,34.915,88.63050000000001,4.0,4.0,4.0,4.0
7982,LOUISVILLE EAST POST ACUTE,KY,0.9117977528089888,4.0,1.0,409.02299999999997,79.885,3.0,2.0,3.0,3.0
7983,LOUISVILLE HEALTHCARE LLC,MS,,,,,,3.0,5.0,1.0,3.0
7984,LOURDES REHABILITATION AND HEALTHCARE CENTER,MI,0.745,4.0,0.8,389.409,91.463,4.0,5.0,4.0,5.0
7985,LOURDES-NOREEN MCKEEN RESIDENCE FOR GERIATRIC CARE,FL,0.7303030303030303,4.0,1.0,183.13,79.2595,2.0,5.0,4.0,3.0
7986,LOVELAND HEALTH CARE CENTER,OH,0.6885416666666666,4.0,1.0,744.685,87.0165,4.0,3.0,4.0,4.0
7987,LOVINGTON HEALTH CARE,NM,0.7306451612903225,4.0,0.0,512.845,81.438,4.0,3.0,4.0,4.0
7988,LOWELL HEALTHCARE,IN,0.8697674418604651,4.0,1.0,38.476,93.59,4.0,2.0,5.0,5.0
7989,LOWRY HILLS CARE AND REHABILITATION,CO,0.5947712418300654,4.0,0.8888888888888888,155.7311111111111,88.15799999999999,1.0,3.0,3.0,1.0
7990,LOYALHANNA CARE CENTER,PA,0.5519215044971382,4.0,1.0,675.2629999999999,77.98949999999999,1.0,3.0,1.0,1.0
7991,LUBBOCK HEALTH CARE CENTER,TX,0.5458333333333333,3.333333333333333,0.8,410.15999999999997,72.0,3.0,2.0,2.0,3.0
7992,LUBBOCK HOSPITALITY NURSING AND REHABILITATION CEN,TX,0.5444444444444445,4.0,0.9,569.841,80.10849999999999,1.0,1.0,3.0,1.0
7993,"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",CT,0.8208333333333333,4.0,0.6666666666666667,752.842,78.832,3.0,5.0,3.0,4.0
7994,LULING CARE CENTER,TX,0.8607843137254901,4.0,0.9,678.4730000000001,94.31800000000001,1.0,1.0,5.0,2.0
7995,LULING LIVING CENTER,LA,0.5452991452991452,4.0,1.0,741.9022222222222,47.826,4.0,1.0,3.0,3.0
7996,LUMBER CITY NURSING & REHABILITATION CENTER,GA,0.6918604651162791,3.6666666666666665,0.8,480.866,58.5005,2.0,1.0,2.0,1.0
7997,LUMBERTON HEALTH AND REHAB CENTER,NC,0.8278688524590164,3.3333333333333335,0.9,275.102,73.5365,4.0,3.0,4.0,4.0
7998,LUTHER ACRES MANOR,PA,0.7292452830188679,4.0,1.0,720.2769999999999,97.619,4.0,3.0,5.0,5.0
7999,LUTHER CREST NURSING FACILITY,PA,0.8966666666666666,4.0,0.8,380.68199999999996,87.4445,4.0,4.0,4.0,4.0
8000,LUTHER HAVEN,MN,0.7477777777777778,4.0,0.7,622.215,96.61,1.0,4.0,3.0,2.0
8001,LUTHER HOME,WI,0.7138810198300283,4.0,0.8,714.55,85.2145,2.0,3.0,2.0,2.0
8002,LUTHER MANOR,WI,0.6782894736842104,4.0,0.8,204.23000000000002,75.8495,1.0,5.0,4.0,2.0
8003,LUTHER MANOR COMMUNITIES,IA,0.7766990291262136,3.3333333333333335,0.09999999999999998,601.306,96.38550000000001,3.0,4.0,3.0,4.0
8004,LUTHER MANOR RETIREMENT & NURSING CENTER,MO,0.7421875,4.0,1.0,637.787,87.154,2.0,3.0,1.0,1.0
8005,LUTHER MEMORIAL HOME,ND,0.8347368421052631,3.8333333333333335,0.4,245.09599999999995,96.07849999999999,4.0,5.0,5.0,5.0
8006,LUTHER OAKS,IL,0.9516129032258064,4.0,1.0,0.0,94.73700000000001,2.0,5.0,4.0,3.0
8007,LUTHER WOODS NURSING AND REHABILITATION CENTER,PA,0.8357142857142857,4.0,1.0,237.29700000000003,97.4325,3.0,2.0,3.0,3.0
8008,LUTHERAN CARE CENTER,IL,0.5302083333333333,4.0,1.0,545.0849999999999,82.69200000000001,4.0,5.0,4.0,5.0
8009,LUTHERAN CENTER AT POUGHKEEPSIE INC,NY,0.7909722222222222,4.0,1.0,564.7988888888889,88.194,4.0,3.0,4.0,4.0
8010,LUTHERAN COMMUNITY AT TELFORD,PA,0.7813333333333333,4.0,1.0,78.351,97.79150000000001,4.0,5.0,5.0,5.0
8011,LUTHERAN COMMUNITY HOME,IN,0.8086206896551724,4.0,0.7,436.02700000000004,96.117,1.0,4.0,4.0,2.0
8012,LUTHERAN CONVALESCENT HOME,MO,0.7207843137254902,4.0,1.0,475.89099999999996,95.41550000000001,5.0,5.0,5.0,5.0
8013,LUTHERAN HAVEN NURSING HOME,FL,0.7374999999999999,3.0,1.0,50.227,97.402,5.0,4.0,5.0,5.0
8014,LUTHERAN HOME,OH,0.7767722473604827,4.0,0.5555555555555556,359.29200000000003,91.37100000000001,4.0,3.0,4.0,4.0
8015,LUTHERAN HOME,OH,0.7767722473604827,4.0,0.5555555555555556,359.29200000000003,91.37100000000001,2.0,2.0,4.0,2.0
8016,LUTHERAN HOME,OH,0.7767722473604827,4.0,0.5555555555555556,359.29200000000003,91.37100000000001,2.0,4.0,4.0,3.0
8017,LUTHERAN HOME,WI,0.8342245989304813,4.0,0.8,651.5469999999999,85.2475,4.0,3.0,4.0,4.0
8018,LUTHERAN HOME,WI,0.8342245989304813,4.0,0.8,651.5469999999999,85.2475,2.0,2.0,4.0,2.0
8019,LUTHERAN HOME,WI,0.8342245989304813,4.0,0.8,651.5469999999999,85.2475,2.0,4.0,4.0,3.0
8020,LUTHERAN HOME AT HOLLIDAYSBURG,PA,0.697752808988764,4.0,0.8,730.08,88.571,1.0,5.0,5.0,2.0
8021,"LUTHERAN HOME AT JOHNSTOWN, THE",PA,0.6049382716049383,4.0,0.8888888888888888,492.71777777777777,93.75,2.0,4.0,3.0,3.0
8022,"LUTHERAN HOME AT KANE, THE",PA,0.81,4.0,0.8,523.246,92.74100000000001,4.0,4.0,4.0,4.0
8023,LUTHERAN HOME AT TOLEDO,OH,0.8564814814814814,4.0,0.0,687.2119999999999,80.325,2.0,2.0,2.0,2.0
8024,"LUTHERAN HOME AT TOPTON, THE",PA,0.8530927835051546,4.0,0.30000000000000004,407.711,88.166,4.0,3.0,4.0,4.0
8025,LUTHERAN HOME FOR THE AGED,IL,0.6451183825485501,4.0,1.0,171.08599999999996,81.641,2.0,5.0,4.0,3.0
8026,LUTHERAN HOME OF SOUTHBURY INC,CT,0.8725,4.0,1.0,630.882,95.3175,5.0,5.0,4.0,5.0
8027,LUTHERAN HOME OF THE GOOD SHEPHERD,ND,0.8306595365418895,4.0,1.0,335.86333333333334,100.0,1.0,5.0,4.0,2.0
8028,"LUTHERAN HOME, THE",IL,0.7348314606741574,4.0,1.0,286.731,94.6215,5.0,4.0,4.0,5.0
8029,"LUTHERAN HOME, THE",IL,0.7348314606741574,4.0,1.0,286.731,94.6215,4.0,5.0,3.0,5.0
8030,"LUTHERAN HOME, THE",MO,0.6861313868613139,4.0,1.0,528.0409999999999,86.5865,5.0,4.0,4.0,5.0
8031,"LUTHERAN HOME, THE",MO,0.6861313868613139,4.0,1.0,528.0409999999999,86.5865,4.0,5.0,3.0,5.0
8032,LUTHERAN LIFE VILLAGES,IN,0.7131720430107528,3.888888888888889,0.7333333333333334,129.7196666666667,91.67866666666667,3.0,3.0,5.0,4.0
8033,LUTHERAN LIFE VILLAGES,IN,0.7131720430107528,3.888888888888889,0.7333333333333334,129.7196666666667,91.67866666666667,5.0,4.0,5.0,5.0
8034,LUTHERAN LIFE VILLAGES,IN,0.7131720430107528,3.888888888888889,0.7333333333333334,129.7196666666667,91.67866666666667,3.0,4.0,5.0,5.0
8035,LUTHERAN LIVING SENIOR CAMPUS,IA,0.8129032258064516,4.0,0.5,368.794,95.3655,2.0,3.0,4.0,2.0
8036,LUTHERAN NURSING HOME,MO,0.5696428571428571,4.0,0.8,793.503,79.1595,2.0,5.0,3.0,3.0
8037,LUTHERAN REHABILITATION & SKILLED CARE CENTER,MA,0.8037383177570093,3.8333333333333335,1.0,738.225,97.93799999999999,2.0,4.0,2.0,3.0
8038,LUTHERAN RETIREMENT HOME,IA,0.773913043478261,4.0,0.8,3.0300000000000002,98.485,4.0,1.0,4.0,3.0
8039,LUTHERAN RETIREMENT HOME,IA,0.773913043478261,4.0,0.8,3.0300000000000002,98.485,3.0,3.0,5.0,4.0
8040,LUTHERAN RETIREMENT HOME,NY,0.7716216216216216,4.0,0.19999999999999996,59.806,97.273,4.0,1.0,4.0,3.0
8041,LUTHERAN RETIREMENT HOME,NY,0.7716216216216216,4.0,0.19999999999999996,59.806,97.273,3.0,3.0,5.0,4.0
8042,LUTHERAN SENIOR SERVICES AT BREEZE PARK,MO,0.8098765432098765,4.0,1.0,384.159,94.267,2.0,4.0,5.0,4.0
8043,LUTHERAN SENIOR SERVICES AT MERAMEC BLUFFS,MO,0.61640625,4.0,1.0,372.139,95.4435,4.0,5.0,2.0,5.0
8044,LUTHERAN SOCIAL MINISTRIES CRANES MILL,NJ,0.4232142857142857,4.0,1.0,0.0,97.826,3.0,5.0,5.0,5.0
8045,LUTHERAN SUNSET HOME,ND,0.9043956043956044,4.0,0.7,555.616,90.3745,4.0,1.0,3.0,3.0
8046,LUTHERAN VILLAGE AT WOLFCREEK,OH,0.7325,4.0,1.0,494.38,87.5,2.0,3.0,3.0,2.0
8047,"LUVERNE HEALTH AND REHABILITATION, LLC",AL,0.878148400272294,4.0,1.0,652.6469999999999,79.58099999999999,4.0,2.0,4.0,4.0
8048,LUXE AT JUPITER REHABILITATION CENTER (THE),FL,,,,,,,,,
8049,LUXE AT LUTZ REHABILITATION CENTER (THE),FL,0.6891666666666667,4.0,1.0,275.061,57.732,1.0,3.0,4.0,1.0
8050,LUXE AT WELLINGTON REHABILITATION CENTER THE,FL,0.4583333333333333,4.0,0.8888888888888888,448.4266666666666,79.31,3.0,5.0,2.0,4.0
8051,LUXOR NURSING AND REHABILITATION AT MILLS POND,NY,0.8732000000000001,4.0,0.6666666666666667,62.150999999999996,69.24749999999999,4.0,1.0,5.0,4.0
8052,LUXOR NURSING AND REHABILITATION AT SAYVILLE,NY,0.8638888888888889,4.0,0.8888888888888888,219.473,86.932,3.0,2.0,5.0,4.0
8053,LYDIA TAFT HOUSE,MA,0.7735849056603774,4.0,0.7,548.102,97.512,2.0,3.0,4.0,2.0
8054,LYNBROOK RESTORATIVE THERAPY AND NURSING,NY,0.7477777777777778,4.0,1.0,899.9177777777778,80.8,3.0,3.0,5.0,4.0
8055,LYNCHBURG HEALTH & REHABILITATION  CENTER,VA,0.7483333333333333,4.0,0.09999999999999998,476.24299999999994,74.5715,2.0,2.0,4.0,2.0
8056,LYNCHBURG NURSING CENTER,TN,0.5738636363636364,4.0,1.0,334.949,74.74600000000001,4.0,2.0,5.0,5.0
8057,"LYNDON WOODS CARE & REHAB, LLC",KY,0.8014184397163121,4.0,1.0,53.86,87.1225,2.0,3.0,2.0,2.0
8058,LYNGBLOMSTEN CARE CENTER,MN,0.8017777777777778,4.0,0.9,673.8249999999999,97.273,3.0,5.0,5.0,5.0
8059,LYNHURST HEALTHCARE,IN,,,,,,3.0,1.0,2.0,2.0
8060,LYNN CARE CENTER,VA,0.8066666666666666,4.0,1.0,153.792,88.934,4.0,4.0,3.0,4.0
8061,LYNN HAVEN HEALTH AND REHABILITATION,GA,0.7506493506493506,4.0,0.09999999999999998,448.474,91.525,5.0,2.0,5.0,5.0
8062,LYNNWOOD POST ACUTE REHABILITATION CENTER,WA,0.6537313432835821,4.0,1.0,82.035,63.087500000000006,3.0,5.0,5.0,5.0
8063,LYNWOOD HEALTHCARE CENTER,CA,0.7848484848484849,4.0,1.0,386.31399999999996,77.632,1.0,1.0,5.0,2.0
8064,LYNWOOD MANOR HEALTHCARE CENTER,MI,0.7523809523809524,4.0,0.6,588.53,81.081,1.0,3.0,4.0,1.0
8065,LYNWOOD NURSING AND REHABILITATION LP,TX,0.4564814814814815,4.0,0.8888888888888888,925.6922222222222,91.419,2.0,1.0,3.0,1.0
8066,LYNWOOD NURSING HOME,AL,0.7566929133858268,4.0,0.0,728.3950000000002,67.35549999999999,3.0,4.0,4.0,4.0
8067,LYON SPECIALTY CARE,IA,0.7577777777777778,4.0,1.0,631.373,97.33250000000001,2.0,3.0,4.0,2.0
8068,LYTLE NURSING HOME,TX,0.6968253968253968,3.8333333333333335,0.5555555555555556,255.4477777777778,100.0,1.0,1.0,5.0,2.0
8069,M I NURSING & RESTORATIVE CENTER,MA,0.5683982683982685,4.0,0.8,1073.145,94.55799999999999,3.0,3.0,4.0,3.0
8070,M M EWING CONTINUING CARE CENTER,NY,0.9589887640449437,3.3333333333333335,0.9,67.67999999999999,100.0,3.0,4.0,5.0,5.0
8071,MABANK NURSING HOME,TX,0.6216666666666666,4.0,1.0,382.47299999999996,81.9615,5.0,1.0,1.0,3.0
8072,MABEE HEALTH CARE CENTER,TX,0.5539999999999999,4.0,1.0,264.018,92.6005,3.0,3.0,4.0,3.0
8073,MABRY HEALTH CARE,TN,0.54625,3.8333333333333335,0.8888888888888888,597.301,82.553,3.0,1.0,1.0,1.0
8074,MACCLENNY NURSING AND REHAB CENTER,FL,0.7808333333333334,4.0,1.0,72.701,71.3545,3.0,3.0,4.0,3.0
8075,MACGREGOR DOWNS HEALTH AND REHABILITATION,NC,0.7921052631578948,3.3333333333333335,0.6,247.29299999999998,77.0685,2.0,3.0,5.0,3.0
8076,MACKINAC STRAITS LONG TERM CARE UNIT,MI,0.9583333333333334,4.0,0.9,37.542,100.0,5.0,5.0,3.0,5.0
8077,MACLAY HEALTHCARE CENTER,CA,0.723404255319149,4.0,0.4444444444444444,499.75333333333333,86.1605,2.0,3.0,5.0,3.0
8078,MACNEAL HOSPITAL SNF,IL,0.484,3.3333333333333335,1.0,950.892,82.353,5.0,5.0,4.0,5.0
8079,MACOMB POST ACUTE CARE CENTER,IL,0.53625,3.666666666666667,1.0,710.876,71.616,5.0,4.0,4.0,5.0
8080,MACON HEALTH CARE CENTER,MO,0.3983333333333333,4.0,1.0,71.32300000000001,97.959,2.0,5.0,5.0,4.0
8081,MACON REHABILITATION AND HEALTHCARE,GA,0.7033333333333333,4.0,0.8888888888888888,992.3933333333334,71.137,2.0,1.0,3.0,1.0
8082,MACON VALLEY NURSING AND REHABILITATION CENTER,NC,0.33399999999999996,3.8333333333333335,1.0,688.559,92.4225,1.0,3.0,3.0,1.0
8083,MADEIRA HEALTHCARE,OH,0.6641221374045801,4.0,0.0,140.21222222222224,80.7835,1.0,1.0,1.0,1.0
8084,MADEIRA HEALTHCARE CENTER,OH,0.5979591836734695,4.0,0.19999999999999996,189.10000000000002,82.70500000000001,,,,
8085,MADERA REHABILITATION & NURSING CENTER,CA,0.8511363636363637,4.0,1.0,622.5029999999999,83.352,1.0,2.0,4.0,1.0
8086,MADIGAN ESTATES,ME,0.9090909090909091,4.0,1.0,8.946,98.28200000000001,3.0,4.0,2.0,4.0
8087,MADISON CARRIAGE COVE SHORT STAY REHABILITATION,ID,0.8142857142857143,3.8333333333333335,0.625,0.0,80.0,1.0,5.0,4.0,2.0
8088,MADISON CO NH,MS,0.9192982456140351,4.0,0.125,409.88111111111107,94.4435,3.0,3.0,1.0,2.0
8089,MADISON HEALTH AND REHAB,GA,0.8257142857142856,4.0,0.7,466.03200000000004,96.548,2.0,1.0,5.0,2.0
8090,MADISON HEALTH AND REHABILITATION,NC,0.865,3.8333333333333335,1.0,742.016,81.66650000000001,4.0,2.0,5.0,5.0
8091,MADISON HEALTH AND REHABILITATION CENTER,FL,0.7516666666666667,4.0,1.0,680.81,74.352,5.0,4.0,3.0,5.0
8092,MADISON HEALTH AND REHABILITATION CENTER,FL,0.7516666666666667,4.0,1.0,680.81,74.352,1.0,2.0,2.0,1.0
8093,MADISON HEALTH AND REHABILITATION CENTER,KY,0.7630434782608696,4.0,1.0,84.024,85.1105,5.0,4.0,3.0,5.0
8094,MADISON HEALTH AND REHABILITATION CENTER,KY,0.7630434782608696,4.0,1.0,84.024,85.1105,1.0,2.0,2.0,1.0
8095,MADISON HEALTH CARE,OH,0.832,4.0,0.9,382.3,91.9615,4.0,1.0,3.0,3.0
8096,MADISON HEALTHCARE SERVICES,MN,0.7718253968253969,4.0,0.7777777777777778,478.32111111111107,90.244,3.0,5.0,1.0,3.0
8097,MADISON HOUSE,CT,0.6842696629213483,2.5,1.0,813.024,93.506,2.0,3.0,5.0,3.0
8098,MADISON MANOR NURSING HOME,AL,0.87625,3.0,0.4,201.75,91.242,3.0,3.0,3.0,3.0
8099,MADISON MEDICAL CENTER,MO,0.5310924369747899,4.0,1.0,766.7520000000001,0.0,4.0,5.0,2.0,5.0
8100,MADISON MEDICAL RESORT,TX,0.8596774193548387,4.0,0.9,264.379,79.661,3.0,1.0,4.0,2.0
8101,MADISON PARK HEALTHCARE,WV,0.975609756097561,3.6666666666666665,0.6,181.14799999999997,97.561,4.0,4.0,5.0,5.0
8102,MADISON POINTE CARE CENTER,FL,0.8521008403361345,4.0,1.0,347.70500000000004,87.10050000000001,3.0,3.0,5.0,4.0
8103,MADISON VALLEY MANOR,MT,0.55625,4.0,1.0,99.923,100.0,5.0,5.0,5.0,5.0
8104,"MADISON, THE",WV,0.7903225806451613,2.5,1.0,667.3280000000001,88.679,2.0,4.0,2.0,3.0
8105,MADISONVILLE CARE CENTER,TX,0.5577586206896552,3.333333333333333,1.0,144.452,77.632,2.0,1.0,2.0,1.0
8106,MADISONVILLE HEALTH AND REHAB CENTER,TN,0.6630769230769231,4.0,0.4,439.45799999999997,78.155,2.0,4.0,3.0,3.0
8107,"MADISONVILLE HEALTH AND REHABILITATION, LLC",KY,0.7893617021276597,4.0,0.5,631.887,87.34200000000001,1.0,3.0,2.0,1.0
8108,MADO HEALTHCARE - UPTOWN,IL,0.8947811447811448,4.0,1.0,236.42444444444448,97.881,2.0,1.0,3.0,1.0
8109,MADONNA MANOR,KY,,,,,,2.0,4.0,5.0,4.0
8110,MADONNA MANOR NURSING HOME,MA,0.589922480620155,4.0,1.0,822.257,97.315,2.0,5.0,2.0,3.0
8111,MADONNA TOWERS OF ROCHESTER INC,MN,0.8919354838709677,4.0,0.33333333333333337,42.05200000000001,95.924,1.0,5.0,3.0,2.0
8112,MADRID HOME FOR THE AGED,IA,0.6568181818181817,4.0,0.9,153.47099999999998,96.491,2.0,4.0,5.0,4.0
8113,MAEFAIR HEALTH CARE CENTER,CT,0.835820895522388,4.0,1.0,362.021,74.50800000000001,3.0,3.0,2.0,3.0
8114,MAGGIE VALLEY NURSING AND REHABILITATION,NC,0.8377192982456141,4.0,1.0,193.17400000000004,96.53899999999999,3.0,3.0,4.0,3.0
8115,MAGNOLIA CREEK NURSING AND REHABILITATION,TN,0.6467948717948718,4.0,0.7,332.708,69.307,3.0,2.0,5.0,4.0
8116,MAGNOLIA CREEK SKILLED NURSING AND THERAPY,OK,0.48717948717948717,4.0,1.0,480.691,76.316,5.0,2.0,3.0,5.0
8117,MAGNOLIA ESTATES,LA,0.76625,4.0,1.0,1141.659,77.453,2.0,2.0,3.0,2.0
8118,MAGNOLIA GARDENS CONVALESCENT HOSPITAL,CA,0.7856341189674523,4.0,1.0,746.5788888888889,85.02600000000001,1.0,3.0,5.0,2.0
8119,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,0.7126126126126126,4.0,1.0,471.334,90.0,4.0,2.0,3.0,4.0
8120,MAGNOLIA HEALTH AND REHABILITATION CENTER,FL,0.855,4.0,0.9,246.49900000000002,51.3045,1.0,3.0,4.0,1.0
8121,MAGNOLIA HEALTHCARE AND REHABILITATION CENTER,TN,0.45801104972375695,4.0,0.6,512.7,71.1625,1.0,1.0,2.0,1.0
8122,MAGNOLIA LANE NURSING AND REHABILITATION CENTER,NC,0.38099173553719007,4.0,1.0,413.75,80.5835,2.0,2.0,3.0,2.0
8123,MAGNOLIA LIVING AND REHABILITATION,TX,0.6688888888888889,4.0,0.8,512.29875,98.1705,2.0,1.0,5.0,2.0
8124,MAGNOLIA MANOR,TX,0.6258064516129032,4.0,1.0,140.03699999999998,74.3435,2.0,1.0,4.0,1.0
8125,MAGNOLIA MANOR - COLUMBIA,SC,0.8977272727272727,4.0,1.0,959.015,9.639,,,,
8126,MAGNOLIA MANOR - GREENVILLE,SC,0.8552188552188552,4.0,0.5,1343.5533333333333,76.62049999999999,1.0,2.0,1.0,1.0
8127,MAGNOLIA MANOR - GREENWOOD,SC,0.875,3.8333333333333335,1.0,495.25,86.1945,2.0,4.0,4.0,3.0
8128,MAGNOLIA MANOR - INMAN,SC,0.83125,4.0,0.9,320.313,71.73750000000001,1.0,2.0,2.0,1.0
8129,MAGNOLIA MANOR - ROCK HILL,SC,0.8754716981132076,4.0,0.30000000000000004,643.675,66.4785,2.0,3.0,3.0,2.0
8130,MAGNOLIA MANOR - SPARTANBURG,SC,0.8126315789473685,4.0,0.9,755.0469999999999,67.549,2.0,2.0,2.0,2.0
8131,MAGNOLIA MANOR METHODIST NSG C,GA,0.5630252100840336,4.0,0.0,197.348,89.55799999999999,4.0,3.0,1.0,3.0
8132,"MAGNOLIA MANOR NURSING AND REHAB CTR, LLC",LA,0.8174603174603174,4.0,1.0,824.8244444444445,69.134,2.0,1.0,3.0,1.0
8133,MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - EAST,GA,0.47095238095238096,4.0,0.9,598.2589999999999,64.502,2.0,3.0,4.0,2.0
8134,MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - WEST,GA,0.6072289156626506,4.0,0.30000000000000004,538.583,69.3215,2.0,2.0,5.0,3.0
8135,MAGNOLIA MANOR OF MARION COUNTY,GA,0.7657142857142857,4.0,0.7,449.342,78.9405,4.0,3.0,5.0,5.0
8136,MAGNOLIA MANOR OF MIDWAY,GA,0.6990476190476191,4.0,0.8,1010.258,98.387,1.0,3.0,5.0,2.0
8137,MAGNOLIA MANOR OF ST SIMONS REHAB & NURSING CENTER,GA,0.5408,4.0,0.8,522.853,91.3465,1.0,2.0,5.0,2.0
8138,MAGNOLIA PLACE,TX,0.6060344827586207,4.0,0.7,668.8889999999999,90.7495,3.0,1.0,4.0,2.0
8139,MAGNOLIA PLACE - GREENVILLE,SC,0.9275,4.0,0.11111111111111116,633.9300000000001,75.893,2.0,2.0,2.0,2.0
8140,MAGNOLIA PLACE - SPARTANBURG,SC,0.8941666666666667,4.0,1.0,445.08000000000004,66.53800000000001,1.0,2.0,3.0,1.0
8141,MAGNOLIA PLACE HEALTH CARE LLP,TX,0.6008474576271187,4.0,1.0,448.7389999999999,77.8,3.0,1.0,2.0,2.0
8142,MAGNOLIA PLACE NURSING AND REHABILITATION,GA,0.5147058823529411,,1.0,0.0,96.42850000000001,,,,
8143,MAGNOLIA POST ACUTE CARE,CA,0.8747474747474747,4.0,1.0,784.1800000000001,86.90799999999999,3.0,3.0,5.0,4.0
8144,MAGNOLIA REHABILITATION  & NURSING  CENTER,CA,0.5675925925925926,4.0,1.0,353.53,65.556,1.0,4.0,5.0,2.0
8145,MAGNOLIA RIDGE,AL,0.8344594594594594,2.5,1.0,625.4970000000001,77.444,1.0,3.0,2.0,1.0
8146,"MAGNOLIA SENIOR CARE, LLC",MS,0.7816666666666666,4.0,0.4,425.51899999999995,94.8725,5.0,3.0,1.0,4.0
8147,MAGNOLIA SQUARE NURSING AND REHAB,MO,0.6966666666666667,4.0,1.0,469.918,78.313,4.0,2.0,2.0,4.0
8148,MAGNOLIA VILLAGE,KY,0.84,2.5,1.0,761.335,92.15700000000001,3.0,3.0,5.0,4.0
8149,MAHNOMEN HEALTH CENTER,MN,0.821875,4.0,0.0,265.071,90.661,3.0,5.0,4.0,4.0
8150,MAHONING VALLEY NURSING AND RE,PA,0.780281690140845,4.0,1.0,726.448,89.7725,3.0,3.0,5.0,4.0
8151,MAIN STREET CARE,WV,0.8470588235294118,4.0,1.0,0.0,96.552,3.0,4.0,1.0,3.0
8152,MAIN STREET CARE CENTER,OH,0.7775,3.6666666666666665,0.6,540.9970000000001,85.586,3.0,2.0,5.0,4.0
8153,MAIN STREET TERRACE CARE CENTER,OH,0.852,4.0,1.0,311.203,95.547,3.0,2.0,3.0,3.0
8154,MAIN WEST POSTACUTE CARE,CA,0.7616161616161616,4.0,1.0,806.1940000000001,84.05799999999999,2.0,1.0,5.0,2.0
8155,MAINE VETERANS HOME - AUGUSTA,ME,0.6958333333333333,4.0,0.7777777777777778,13.728,100.0,4.0,5.0,3.0,5.0
8156,MAINE VETERANS HOME - BANGOR,ME,0.7466666666666666,2.6666666666666665,1.0,2.0,98.99,3.0,5.0,5.0,5.0
8157,MAINE VETERANS HOME - CARIBOU,ME,0.77,3.166666666666667,1.0,0.0,100.0,5.0,5.0,5.0,5.0
8158,MAINE VETERANS HOME - SCARBOROUGH,ME,0.6675,2.6666666666666665,1.0,10.39,100.0,4.0,5.0,4.0,5.0
8159,MAINE VETERANS HOME - SO PARIS,ME,0.7709677419354838,2.833333333333333,1.0,266.907,100.0,5.0,5.0,5.0,5.0
8160,MAINEGENERAL REHAB & LONG TERM CARE - GLENRIDGE,ME,0.9633333333333333,4.0,0.6,277.442,90.705,4.0,4.0,4.0,4.0
8161,MAINEGENERAL REHAB & LONG TERM CARE - GRAY BIRCH,ME,0.7324675324675325,4.0,0.4,429.8,92.30799999999999,1.0,5.0,3.0,2.0
8162,MAINPLACE POST ACUTE,CA,0.7940828402366863,4.0,1.0,937.186,79.781,2.0,3.0,5.0,3.0
8163,MAISON DE LAFAYETTE,LA,0.7952380952380953,4.0,1.0,219.593,84.695,2.0,2.0,2.0,2.0
8164,MAISON DE'VILLE NURSING HOME,LA,0.7983257229832572,3.5,0.75,120.55111111111111,,1.0,1.0,2.0,1.0
8165,MAISON DE'VILLE NURSING HOME OF HARVEY,LA,0.845,3.8333333333333335,0.4,60.8688888888889,43.258500000000005,1.0,1.0,1.0,1.0
8166,MAISON DU MONDE LIVING CENTER,LA,0.81953125,4.0,1.0,150.81699999999998,89.06450000000001,3.0,2.0,2.0,3.0
8167,MAISON ORLEANS HEALTHCARE OF NEW ORLEANS,LA,0.8251336898395722,4.0,0.19999999999999996,182.2511111111111,34.181,2.0,1.0,1.0,1.0
8168,MAISON TECHE NURSING CENTER,LA,0.534710743801653,4.0,1.0,875.461,,4.0,3.0,2.0,4.0
8169,MAJESTIC CARE OF AVON,IN,0.8638132295719845,4.0,0.19999999999999996,649.3109999999999,71.953,1.0,1.0,4.0,1.0
8170,MAJESTIC CARE OF BATTLE CREEK,MI,0.7246153846153847,4.0,1.0,359.102,60.593,2.0,4.0,4.0,3.0
8171,MAJESTIC CARE OF CARMEL,IN,0.76010101010101,4.0,0.875,334.52555555555557,88.98299999999999,2.0,5.0,4.0,3.0
8172,MAJESTIC CARE OF COLUMBUS LLC,OH,0.8741666666666668,4.0,0.6,586.2410000000001,72.919,1.0,1.0,5.0,2.0
8173,MAJESTIC CARE OF CONNERSVILLE,IN,0.4614457831325301,4.0,1.0,909.6869999999999,65.7425,2.0,2.0,3.0,2.0
